Period,Site,Corallivore Density,Detritivore Density,Omnivore Density,Carnivore Density,Herbivore Density,Total Density,Commercial Density,Total Biomass Density,Commercial Biomass Density
Spring 2022,Latason MPA,11.75,16.75,21.5,28.75,583.0,725.38,51.25,9.85,3.55
Summer 2022,Latason MPA,23.25,24.75,19.5,107.5,720.25,596.11,156.5,11.12,5.0
Autumn 2022,Latason MPA,13.38,14.25,15.12,70.75,549.5,171.75,92.12,16.65,4.11
Winter 22/23,Latason MPA,17.5,18.75,17.75,49.75,628.5,764.83,145.75,54.76,8.16
Spring 2023,Latason MPA,8.7,11.9,10.9,38.5,370.4,972.25,84.1,28.89,2.67
Summer 2023,Latason MPA,5.27,8.73,7.82,21.27,239.36,1113.36,44.73,21.04,2.63
Autumn 2023,Latason MPA,18.0,18.5,11.0,50.67,487.5,595.64,122.67,8.25,6.68
Winter 23/24,Latason MPA,12.5,9.75,11.75,41.88,547.12,182.2,196.62,8.61,8.29
Spring 2024,Latason MPA,18.6,20.6,14.0,80.4,474.2,242.57,45.8,12.74,3.76
Summer 2024,Latason MPA,7.83,13.67,10.17,53.83,565.83,230.0,255.83,6.0,15.0
Autumn 2024,Latason MPA,13.29,17.86,16.43,54.71,512.86,499.82,139.71,16.72,6.16
Winter 24/25,Latason MPA,8.23,7.31,8.0,16.54,319.69,827.25,27.69,16.61,1.3
Spring 2025,Latason MPA,6.29,7.64,9.79,32.93,294.07,688.0,31.43,21.29,3.0
