Season,Hard Coral Cover,Fleshy Macro Algae Cover,Rubble,Bleaching,Total Denisty,Commercial Denisty,Commercial Biomass,Herbivore Denisty,Carnivore Density,Omnivore Density,Corallivore Denisty,Detritovore Density,
2017Q3,42.45,9.58,4.53,2.5,236,121.33,22.63,85.33,34.67,24.67,48.33,18.67,1
2017Q4,31.88,10.83,7.08,1.46,121,43,1.27,20,12,19,38,24.5,
2018Q1,28.07,21.93,5.27,0.48,170,101.1,6.59,77.9,16.7,12.8,30.1,19.1,
2018Q2,26.94,24.31,9.44,2.64,235.17,80.67,7.1,63.5,45.33,31.33,51.67,14.5,
2018Q3,31.19,18.99,5.36,1.85,450.5,221.75,14.53,190.75,33.5,59.5,80.25,44.5,
2018Q4,29.2,21.64,4.97,2.78,907,575.67,59.62,369,44.33,65.67,81,32.67,
2019Q1,27.79,20.54,5.96,1.04,445.5,259.38,10.42,302.25,32.13,25.5,39.63,15,
2019Q2,26.03,17.76,9.71,1.39,465.63,226.75,9.75,325.25,29.13,30.25,38,8.63,
2019Q3,26.69,19.28,7.75,1.77,153.78,69.56,1.78,61.44,22.22,18.11,22.22,14.89,
2019Q4,25.72,23.89,4.94,4.61,426.83,209,13.61,269.5,20,38.83,47.17,22.83,
2020Q1,,,,,,,,,,,,,
2020Q2,,,,,,,,,,,,,
2020Q3,,,,,,,,,,,,,
2020Q4,,,,,,,,,,,,,
2021Q1,,,,,,,,,,,,,
2021Q2,,,,,,,,,,,,,
2021Q3,,,,,,,,,,,,,
2021Q4,,,,,,,,,,,,,
2022Q1,,,,,,,,,,,,,
2022Q2,22.81,26.3,5.36,6.5,1264.67,145.83,16.55,951.5,105.67,35.67,22.5,37.67,
2022Q3,18.06,24.1,7.22,13.89,1174.14,154.43,4.77,825.14,93.71,38.43,25.29,19.43,
2022Q4,17.08,24.93,7.85,3.89,591.2,134.3,8.39,483.3,25.3,16.4,10.4,6.3,
2023Q1,18.84,21.99,9.63,4.26,553.67,77.83,2.76,447.83,19.72,13.28,10.94,7.28,
2023Q2,17.04,19.07,10.42,1.16,733.13,79.44,5.01,594.13,60.56,16.56,11.38,8.44,
2023Q3,19.17,24.58,14.08,1.08,604.75,52.63,2,495.25,38.88,16.63,9.75,13.75,
2023Q4,14.48,22.14,9.27,0.26,677.06,102.69,7.63,551.25,50.6,17.06,12.94,14.88,
2024Q1,20.51,20.79,6.11,2.69,576.08,26.69,1.26,404.92,77.15,17,11.08,11.46,
2024Q2,18.17,23.77,10.32,1.19,832.27,85.64,6.31,636.27,104,22.36,13.64,7.27,
2024Q3,18.38,16.37,10.74,1.47,1113.29,81.29,4.15,917.29,85,31.29,16.57,13.71,
2024Q4,,,,,,,,,,,,,
